ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
TCNU6946388,1,53,10,3,1,2021/10/30 10:14,,1,AWS2,USLGB,1,2.25,16144,5,0
CSNU6238104,1,38,66,1,1,2021/10/30 11:25,,2,AWS2,USLG8,1,2.25,16144,5,0
CBHU9524989,1,38,46,5,3,2022/10/16 20:59,,3,AWS2,USLGB,1,2.25,5930,1,0
EISU1876174,1,46,14,5,1,2022/10/20 5:25,,4,AWS2,USLGB,1,2,22856,7,0
EITU1392548,1,48,64,5,1,2022/10/20 10:02,,5,AWS2,USLGB,1,2.25,15154,5,0
EMCU1356740,1,53,18,5,1,2022/10/20 10:06,,6,AWS2,USLGB,1,2,20354,6,0
EITU9126890,1,53,80,2,3,2022/10/20 12:21,,7,AWS2,USLGB,1,2.25,11434,3,0
BMOU5129857,1,51,42,4,3,2022/10/20 14:06,,8,AWS2,USLGB,1,2.25,26645,8,0
TEMU7153943,1,34,84,1,3,2022/10/20 17:20,,9,AWS2,USLGB,1,2.25,8980.2,2,0
DFSU6985401,1,33,72,2,1,2022/10/20 17:38,,10,AWS2,USLGB,1,2.25,16739,5,0
EISU9363244,1,42,34,3,1,2022/10/20 17:41,,11,AWS2,USLGB,1,2.25,21086,7,0
EITU9186970,1,58,40,4,1,2022/10/20 19:57,,12,AWS2,USLGB,1,2.25,11434,3,0
EISU1729656,1,32,60,4,4,2022/10/20 20:03,,13,AWS2,USLGB,1,2,23222,7,0
EGSU9123430,1,4A,70,4,1,2022/10/20 21:35,,14,AWS2,USLGB,1,2.25,11434,3,0
TLLU5850791,1,31,86,5,3,2022/10/20 22:33,,15,AWS2,USLGB,1,2.25,21234,7,0
TGBU7282597,1,31,86,5,2,2022/10/21 0:24,,16,AWS2,USLGB,1,2.25,23813.9,7,0
TCLU9321268,1,54,72,4,1,2022/10/21 5:12,,17,AWS2,USLGB,1,2.25,11433,3,0
EITU1162118,1,59,80,3,1,2022/10/21 9:51,,18,AWS2,USLGB,1,2.25,15510,5,0
TCNU2146094,1,17,10,1,1,2022/10/21 12:38,,19,AWS2,USLGB,1,2.25,13767.9,4,0
TLLU4869405,1,2E,70,4,2,2022/10/21 13:34,,20,AWS2,USLGB,1,2.25,10893.4,3,0
TRHU7880150,1,2E,70,4,1,2022/10/21 13:41,,21,AWS2,USLGB,1,2.25,13758.2,4,0
HMCU9212166,1,45,70,5,3,2022/10/21 14:01,,22,AWS2,USLGB,1,2.25,10741.4,3,0
TGBU6904119,1,55,36,5,1,2022/10/22 21:04,,23,AWS2,USLGB,1,2.25,21234,7,0
DRYU9441308,1,54,72,4,2,2022/10/23 9:38,,24,AWS2,USLGB,1,2.25,6530,2,0
EITU1458007,1,38,46,5,2,2022/10/23 9:38,,25,AWS2,USLGB,1,2.25,6530,2,0
TXGU5656221,1,54,72,4,3,2022/10/23 9:38,,26,AWS2,USLGB,1,2.25,6530,2,0
TRHU6963223,1,4B,14,3,3,2022/10/23 11:01,,27,AWS2,USLGB,1,2.25,7008,2,0
TXGU5752647,1,51,54,5,1,2022/10/24 17:17,,28,AWS2,USLGB,1,2.25,10048,3,0
EITU1342130,1,4E,80,2,1,2022/10/25 11:21,,29,AWS2,USLGB,1,2.25,16414.1,5,0
OOLU9847061,1,48,64,5,2,2022/10/25 11:57,,30,AWS2,USLGB,1,2.25,18897,6,0
EITU1820121,1,4A,30,4,1,2022/10/25 12:30,,31,AWS2,USLGB,1,2.25,13360,4,0
TEMU6087739,1,4A,30,4,2,2022/10/25 13:28,,32,AWS2,USLGB,1,2.25,23440,7,0
TGBU9771200,1,42,50,2,2,2022/10/25 22:30,,33,AWS2,USLGB,1,2.25,18688.1,6,0
TEMU6094888,1,4A,10,1,1,2022/10/26 14:41,,34,AWS2,USLGB,1,2.25,15810,5,0
OOLU6791293,1,42,34,5,1,2022/10/30 10:40,,35,AWS2,USLGB,1,2.25,8515.2,2,0
FSCU8719005,1,4A,90,3,1,2022/10/31 19:29,,36,AWS2,USLGB,1,2.25,19503.6,6,0
TEMU6981291,1,4A,90,2,1,2022/10/31 21:06,,37,AWS2,USLGB,1,2.25,9371,3,0
FFAU3251553,1,45,90,4,1,2022/11/1 4:43,,38,AWS2,USLGB,1,2.25,9311,3,0
TGBU4338347,1,47,12,3,1,2022/11/1 16:44,,39,AWS2,USLG4,1,2.25,25932,8,0
TLLU4438291,1,4A,30,5,1,2022/11/1 17:15,,40,AWS2,USLGB,1,2.25,19950.2,6,0
TCNU3841280,1,47,12,3,2,2022/11/1 17:22,,41,AWS2,USLG4,1,2.25,25057,8,0
GCXU5158178,1,47,12,3,3,2022/11/1 17:25,,42,AWS2,USLG4,1,2.25,25699,8,0
CSNU6602113,1,46,36,6,1,2022/11/2 13:53,,43,AWS2,USLGB,1,2.25,14740.7,4,0
FCIU9816335,1,46,36,5,1,2022/11/2 16:14,,44,AWS2,USLGB,1,2.25,17383.7,5,0
OOLU8724231,1,45,90,5,1,2022/11/2 16:25,,45,AWS2,USLGB,1,2.25,16497.2,5,0
TCLU1754180,1,46,36,5,2,2022/11/2 17:20,,46,AWS2,USLGB,1,2.25,17949.6,5,0
TGBU4551795,1,4A,38,6,2,2022/11/2 18:45,,47,AWS2,USLGB,1,2.25,11660,3,0
EISU1877524,1,59,32,5,1,2022/11/3 0:07,,48,AWS2,USLGB,1,2,22121,7,0
CBHU7078173,1,56,64,5,1,2022/11/3 0:07,,49,AWS2,USLGB,1,2.25,6530,2,0
TRHU5294416,1,44,80,3,2,2022/11/3 0:09,,50,AWS2,USLGB,1,2.25,10445.7,3,0
TCKU4762089,1,59,32,4,1,2022/11/3 0:11,,51,AWS2,USLGB,1,2,6976.3,2,0
EGHU9258030,1,46,80,1,1,2022/11/3 0:12,,52,AWS2,USLGB,1,2.25,11089.8,3,0
TCKU7874924,1,44,80,3,3,2022/11/3 0:13,,53,AWS2,USLGB,1,2.25,12066,4,0
SEGU5015316,1,52,32,5,1,2022/11/3 0:14,,54,AWS2,USLGB,1,2.25,12900,4,0
OOCU9025736,1,42,90,1,1,2022/11/3 0:14,,55,AWS2,USLG8,1,2.25,14815,4,0
OOCU7866446,1,47,68,2,1,2022/11/3 0:15,,56,AWS2,USLGB,1,2.25,21269,7,0
OOCU7784306,1,46,80,1,2,2022/11/3 0:15,,57,AWS2,USLGB,1,2.25,19500,6,0
CSNU8446853,1,52,32,5,2,2022/11/3 0:16,,58,AWS2,USLGB,1,2.25,12490,4,0
RFCU4095150,1,47,68,2,2,2022/11/3 0:17,,59,AWS2,USLGB,1,2.25,20524.5,6,0
CSNU6125330,1,46,80,1,3,2022/11/3 0:17,,60,AWS2,USLGB,1,2.25,17152,5,0
FSCU8030572,1,47,68,2,3,2022/11/3 0:19,,61,AWS2,USLGB,1,2.25,20370.2,6,0
TCNU3897700,1,52,32,5,3,2022/11/3 0:19,,62,AWS2,USLGB,1,2.25,13377.9,4,0
FSCU8903497,1,46,80,1,4,2022/11/3 0:20,,63,AWS2,USLGB,1,2.25,15314.1,5,0
EMCU8567209,1,52,32,5,4,2022/11/3 0:22,,64,AWS2,USLGB,1,2.25,15908,5,0
OOCU8402389,1,52,32,5,5,2022/11/3 0:24,,65,AWS2,USLGB,1,2.25,16510,5,0
OOCU7880911,1,43,74,5,1,2022/11/3 0:24,,66,AWS2,USLGB,1,2.25,12570,4,0
CXDU2108510,1,54,20,4,3,2022/11/3 0:24,,67,AWS2,USLGB,1,2.25,15734,5,0
OOCU7962603,1,4A,38,6,3,2022/11/3 0:24,,68,AWS2,USLGB,1,2.25,11542,3,0
TRHU5746584,1,43,74,5,2,2022/11/3 0:28,,69,AWS2,USLGB,1,2.25,11542,3,0
SEKU4348560,1,52,18,1,1,2022/11/3 0:30,,70,AWS2,USLGB,1,2.25,13223.2,4,0
CSNU7193323,1,52,18,1,2,2022/11/3 0:30,,71,AWS2,USLGB,1,2.25,14300,4,0
TFLU4908330,1,4A,38,6,4,2022/11/3 0:31,,72,AWS2,USLGB,1,2.25,14600.5,4,0
CSLU6347290,1,43,74,5,3,2022/11/3 0:32,,73,AWS2,USLGB,1,2.25,12066,4,0
DFSU7409165,1,43,74,5,4,2022/11/3 0:35,,74,AWS2,USLGB,1,2.25,14530,4,0
FFAU1611687,1,43,74,3,1,2022/11/3 0:39,,75,AWS2,USLGB,1,2.25,18279,6,0
CSNU6131517,1,56,64,5,2,2022/11/3 0:40,,76,AWS2,USLGB,1,2.25,8620,2,0
SLSU8017063,1,43,74,5,5,2022/11/3 0:42,,77,AWS2,USLGB,1,2.25,11938,3,0
CCLU7638663,1,4A,70,4,2,2022/11/3 1:00,,78,AWS2,USLGB,1,2.25,13535,4,0
TGBU8766301,1,53,64,5,1,2022/11/3 1:02,,79,AWS2,USLG4,1,2.25,20040,6,0
OOCU7084473,1,4A,70,4,3,2022/11/3 1:03,,80,AWS2,USLGB,1,2.25,14760,4,0
TGBU8082438,1,56,64,5,3,2022/11/3 1:04,,81,AWS2,USLGB,1,2.25,6530,2,0
OOCU7603060,1,43,74,3,2,2022/11/3 1:05,,82,AWS2,USLGB,1,2.25,16320.1,5,0
OOCU8007635,1,59,54,4,1,2022/11/3 1:11,,83,AWS2,USLG4,1,2.25,11792,3,0
FSCU9310686,1,59,76,3,1,2022/11/3 1:16,,84,AWS2,USLG4,1,2.25,16650.5,5,0
CCLU7342100,1,47,68,2,4,2022/11/3 1:23,,85,AWS2,USLGB,1,2.25,23401.5,7,0
EGHU9442330,1,51,42,6,1,2022/11/3 1:25,,86,AWS2,USLGB,1,2.25,15060,5,0
CSNU6359683,1,4A,70,4,4,2022/11/3 1:43,,87,AWS2,USLGB,1,2.25,12900,4,0
TGBU8742315,1,51,42,6,2,2022/11/3 1:45,,88,AWS2,USLGB,1,2.25,11542,3,0
DRYU9924585,1,56,64,5,4,2022/11/3 1:54,,89,AWS2,USLGB,1,2.25,9063,3,0
BEAU4698176,1,56,64,5,5,2022/11/3 1:58,,90,AWS2,USLGB,1,2.25,9063,3,0
FFAU3614598,1,43,74,3,3,2022/11/3 2:09,,91,AWS2,USLGB,1,2.25,18201.5,6,0
TGBU3791472,1,43,91,6,1,2022/11/3 2:15,,92,AWS2,USLG6,1,1,6845,2,0
TCLU3533439,1,43,51,3,1,2022/11/3 2:24,,93,AWS2,USLGB,1,1,17933,5,0
TGHU1724456,1,43,51,3,2,2022/11/3 2:28,,94,AWS2,USLGB,1,1,17330,5,0
FFAU2795362,1,51,42,6,3,2022/11/3 2:47,,95,AWS2,USLGB,1,2.25,12900,4,0
OOLU9282751,1,43,74,3,4,2022/11/3 2:49,,96,AWS2,USLGB,1,2.25,16600,5,0
OOLU9765960,1,56,64,3,1,2022/11/3 3:02,,97,AWS2,USLGB,1,2.25,6530,2,0
FSCU9351480,1,51,42,6,4,2022/11/3 3:09,,98,AWS2,USLGB,1,2.25,14549.3,4,0
TRHU4677405,1,4A,38,3,1,2022/11/3 3:10,,99,AWS2,USLGB,1,2.25,15117,5,0
FFAU3178447,1,53,64,2,1,2022/11/3 3:15,,100,AWS2,USLG4,1,2.25,10500,3,0
CRSU9355728,1,43,74,3,5,2022/11/3 3:16,,101,AWS2,USLGB,1,2.25,17900.2,5,0
FFAU2882847,1,4A,38,3,2,2022/11/3 3:21,,102,AWS2,USLGB,1,2.25,11614,3,0
FFAU3316905,1,4A,38,2,1,2022/11/3 3:24,,103,AWS2,USLGB,1,2.25,17113,5,0
CSNU6849037,1,46,36,6,2,2022/11/3 3:28,,104,AWS2,USLGB,1,2.25,19114,6,0
CMAU7924211,1,4A,38,3,3,2022/11/3 3:30,,105,AWS2,USLGB,1,2.25,13080,4,0
CEOU2147996,1,43,51,3,3,2022/11/3 3:34,,106,AWS2,USLGB,1,1,19297,6,0
CBHU8805148,1,51,42,1,1,2022/11/3 3:35,,107,AWS2,USLG6,1,2.25,22452,7,0
BMOU5151254,1,4A,38,3,4,2022/11/3 3:37,,108,AWS2,USLGB,1,2.25,13883,4,0
FCIU9784270,1,4A,70,1,1,2022/11/3 3:39,,109,AWS2,USLGB,1,2.25,12066,4,0
FFAU2711021,1,4A,70,1,2,2022/11/3 3:43,,110,AWS2,USLGB,1,2.25,12488,4,0
CXDU2224084,1,4A,20,4,1,2022/11/3 3:47,,111,AWS2,USLGB,1,2.25,13382.4,4,0
TFLU4956298,1,4A,70,1,3,2022/11/3 4:01,,112,AWS2,USLGB,1,2.25,14885.1,4,0
FSCU8054337,1,45,90,5,2,2022/11/3 4:02,,113,AWS2,USLGB,1,2.25,19824,6,0
TEMU8865027,1,56,64,3,2,2022/11/3 4:11,,114,AWS2,USLGB,1,2.25,9932.6,3,0
GCXU5441819,1,4A,70,1,4,2022/11/3 4:14,,115,AWS2,USLGB,1,2.25,13435,4,0
TGHU6876261,1,51,42,3,1,2022/11/3 4:20,,116,AWS2,USLGB,1,2.25,11434,3,0
OOCU7563250,1,59,72,4,1,2022/11/3 4:25,,117,AWS2,USLGB,1,2.25,21981,7,0
CSLU6111637,1,53,80,3,1,2022/11/3 4:29,,118,AWS2,USLGB,1,2.25,13111.7,4,0
TRHU5198747,1,59,72,4,2,2022/11/3 4:29,,119,AWS2,USLGB,1,2.25,20800,6,0
TEMU8044361,1,31,94,4,2,2022/11/3 4:37,,120,AWS2,USLGB,1,2.25,17839.5,5,0
TGBU4344817,1,53,80,3,2,2022/11/3 4:39,,121,AWS2,USLGB,1,2.25,14249,4,0
FSCU8956630,1,53,80,3,3,2022/11/3 4:41,,122,AWS2,USLGB,1,2.25,11743,3,0
FFAU2296403,1,59,72,4,3,2022/11/3 4:41,,123,AWS2,USLGB,1,2.25,24023,8,0
CBHU9551900,1,53,80,3,4,2022/11/3 4:43,,124,AWS2,USLGB,1,2.25,11434,3,0
UETU5417241,1,53,80,3,5,2022/11/3 4:45,,125,AWS2,USLGB,1,2.25,11434,3,0
OOLU8939857,1,53,80,1,1,2022/11/3 4:47,,126,AWS2,USLGB,1,2.25,14300,4,0
OOLU9082706,1,55,20,2,1,2022/11/3 4:48,,127,AWS2,USLGB,1,2.25,11650,3,0
OOLU6932935,1,53,80,1,2,2022/11/3 4:50,,128,AWS2,USLGB,1,2.25,12807,4,0
OOCU8616293,1,45,90,5,3,2022/11/3 4:51,,129,AWS2,USLGB,1,2.25,16934,5,0
CSNU6463168,1,45,90,5,4,2022/11/3 4:56,,130,AWS2,USLGB,1,2.25,16925.6,5,0
OOCU7505720,1,53,64,5,2,2022/11/3 4:57,,131,AWS2,USLG4,1,2.25,18120,6,0
SEGU6662810,1,56,64,3,3,2022/11/3 4:58,,132,AWS2,USLGB,1,2.25,9063,3,0
TTNU8735242,1,45,90,5,5,2022/11/3 5:02,,133,AWS2,USLGB,1,2.25,16787.5,5,0
CXDU1841944,1,56,64,3,4,2022/11/3 5:02,,134,AWS2,USLGB,1,2.25,7557,2,0
SEGU6836933,1,4A,38,2,2,2022/11/3 5:10,,135,AWS2,USLGB,1,2.25,15736.8,5,0
TCLU4362515,1,52,44,5,1,2022/11/3 5:11,,136,AWS2,USLG5,1,2,13395,4,0
OOLU9324918,1,59,72,4,4,2022/11/3 5:14,,137,AWS2,USLGB,1,2.25,28097.6,9,0
CEOU2148040,1,43,51,2,1,2022/11/3 5:17,,138,AWS2,USLGB,1,1,4978.4,1,0
