O,berth,LR,berthLR,block,distance
Q1L11;884,1,L,1L,51,884
Q1L31;888,1,L,1L,52,888
Q1L2C;896,1,L,1L,53,896
Q1L2D;901,1,L,1L,54,901
Q1L12;935,1,L,1L,55,935
Q1L32;939,1,L,1L,56,939
Q1L13;940,1,L,1L,57,940
Q1L33;944,1,L,1L,58,944
Q1L2E;952,1,L,1L,59,952
Q1L14;991,1,L,1L,61,991
Q1L34;995,1,L,1L,62,995
Q1L15;996,1,L,1L,63,996
Q1L35;1000,1,L,1L,64,1000
Q1L2F;1010,1,L,1L,65,1010
Q1L2G;1010,1,L,1L,66,1010
Q1L16;1047,1,L,1L,67,1047
Q1L36;1051,1,L,1L,68,1051
Q1L17;1052,1,L,1L,69,1052
Q1L2H;1061,1,L,1L,71,1061
Q1L2K;1061,1,L,1L,72,1061
Q1L18;1103,1,L,1L,73,1103
Q1L38;1107,1,L,1L,74,1107
Q1L19;1108,1,L,1L,75,1108
Q1L39;1112,1,L,1L,76,1112
Q1L1A;1159,1,L,1L,77,1159
Q1L3A;1163,1,L,1L,78,1163
Q1L1B;1164,1,L,1L,79,1164
Q1LWX;1208,1,L,1L,81,1208
Q1L41;1211,1,L,1L,82,1211
Q1LF1;1211,1,L,1L,83,1211
Q1L1C;1215,1,L,1L,84,1215
Q1L3C;1219,1,L,1L,85,1219
Q1LRC;1219,1,L,1L,86,1219
Q1L1D;1220,1,L,1L,87,1220
Q1L3D;1224,1,L,1L,88,1224
Q1LRD;1224,1,L,1L,89,1224
Q1L42;1262,1,L,1L,91,1262
Q1LF2;1262,1,L,1L,92,1262
Q1L43;1267,1,L,1L,96,1267
Q1LF3;1267,1,L,1L,97,1267
Q1L1E;1271,1,L,1L,98,1271
Q1L3E;1275,1,L,1L,99,1275
Q1L44;1318,1,L,1L,5A,1318
Q1LF4;1318,1,L,1L,5B,1318
Q1L45;1323,1,L,1L,5F,1323
Q1L1F;1329,1,L,1L,5G,1329
Q1L1G;1329,1,L,1L,5H,1329
Q1L3F;1352,1,L,1L,5K,1352
Q1L3H;1352,1,L,1L,5N,1352
Q1L46;1374,1,L,1L,5S,1374
Q1L47;1379,1,L,1L,6A,1379
Q1LF7;1379,1,L,1L,6C,1379
Q1L1H;1394,1,L,1L,6F,1394
Q1L1K;1394,1,L,1L,6G,1394
Q1L3K;1398,1,L,1L,6H,1398
Q1L49;1435,1,L,1L,6M,1435
Q1L4A;1486,1,L,1L,6N,1486
Q1LFA;1486,1,L,1L,6S,1486
Q1LFB;1491,1,L,1L,7A,1491
Q1L51;1534,1,L,1L,7M,1534
Q1L5S;1534,1,L,1L,8A,1534
Q1LFC;1542,1,L,1L,8M,1542
Q1LFD;1547,1,L,1L,9A,1547
Q1L52;1585,1,L,1L,9B,1585
Q1L53;1590,1,L,1L,9L,1590
Q1L4E;1598,1,L,1L,9M,1598
,1,L,1L,5E,1303
,1,L,1L,6B,1344
,1,L,1L,7L,1349
Q1R25;970,1,R,1R,51,970
Q1RW5;970,1,R,1R,52,970
Q1R1F;984,1,R,1R,53,984
Q1R1G;984,1,R,1R,54,984
Q1R26;1021,1,R,1R,55,1021
Q1RW6;1021,1,R,1R,56,1021
Q1R27;1026,1,R,1R,57,1026
Q1RW7;1026,1,R,1R,58,1026
Q1R1H;1049,1,R,1R,59,1049
Q1R1K;1049,1,R,1R,61,1049
Q1R28;1077,1,R,1R,62,1077
Q1R29;1082,1,R,1R,63,1082
Q1R2A;1133,1,R,1R,64,1133
Q1R2B;1138,1,R,1R,65,1138
Q1R31;1181,1,R,1R,66,1181
Q1R2C;1189,1,R,1R,67,1189
Q1R2D;1194,1,R,1R,68,1194
Q1R32;1232,1,R,1R,69,1232
Q1R2E;1245,1,R,1R,71,1245
Q1R34;1288,1,R,1R,72,1288
Q1R35;1293,1,R,1R,73,1293
Q1R2F;1303,1,R,1R,74,1303
Q1R2G;1303,1,R,1R,75,1303
Q1R36;1344,1,R,1R,76,1344
Q1R37;1349,1,R,1R,77,1349
Q1R2H;1354,1,R,1R,78,1354
Q1R2K;1354,1,R,1R,79,1354
Q1R39;1405,1,R,1R,81,1405
Q1R3A;1456,1,R,1R,82,1456
Q1R3B;1461,1,R,1R,83,1461
Q1RWX;1501,1,R,1R,84,1501
Q1R41;1504,1,R,1R,85,1504
Q1RF1;1504,1,R,1R,86,1504
Q1R3C;1512,1,R,1R,87,1512
Q1RRC;1512,1,R,1R,88,1512
Q1R3D;1517,1,R,1R,89,1517
Q1RRD;1517,1,R,1R,91,1517
Q1R42;1555,1,R,1R,92,1555
Q1RF2;1555,1,R,1R,96,1555
Q1R43;1560,1,R,1R,97,1560
Q1RF3;1560,1,R,1R,98,1560
Q1R3E;1568,1,R,1R,99,1568
Q1R44;1611,1,R,1R,5A,1611
Q1RF4;1611,1,R,1R,5B,1611
Q1R45;1616,1,R,1R,5F,1616
Q1R3F;1645,1,R,1R,5G,1645
Q1R3H;1645,1,R,1R,5H,1645
Q1R46;1667,1,R,1R,5K,1667
Q1RF6;1667,1,R,1R,5N,1667
Q1R47;1672,1,R,1R,5S,1672
Q1R3K;1691,1,R,1R,6A,1691
Q1R48;1723,1,R,1R,6C,1723
Q1R49;1728,1,R,1R,6F,1728
Q1R4A;1779,1,R,1R,6G,1779
Q1RFA;1779,1,R,1R,6H,1779
Q1RFB;1784,1,R,1R,6M,1784
Q1R51;1827,1,R,1R,6N,1827
Q1R5N;1827,1,R,1R,6S,1827
Q1R4C;1835,1,R,1R,7A,1835
Q1RFC;1835,1,R,1R,7M,1835
Q1RFD;1840,1,R,1R,8A,1840
Q1R53;1883,1,R,1R,8M,1883
Q1RFE;1891,1,R,1R,9A,1891
Q1R54;1934,1,R,1R,9B,1934
Q1R55;1939,1,R,1R,9L,1939
Q1R4F;1948,1,R,1R,9M,1948
,1,R,1R,5E,942
,1,R,1R,6B,950
,1,R,1R,7L,950
Q2L33;675,2,L,2L,51,675
Q2L34;726,2,L,2L,52,726
