ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
SEGU6695985,1,3K,40,9,1,2019/9/24 0:34,,1,MED1,GRPIR,1,2.25,24500,8,0
EITU9007144,1,2A,56,6,1,2022/9/28 21:25,,2,MED1,GRPIR,1,2.25,17940,5,0
DFSU3514352,1,1A,92,5,1,2022/9/29 15:36,,3,MED1,GRPIR,1,2.25,14450,4,0
ECMU8097419,1,34,20,2,1,2022/10/20 17:30,,4,MED1,GRPIR,1,2.25,25796.1,8,0
OOLU8773370,1,82,20,6,3,2022/10/21 14:45,,5,MED1,PLGDN,1,2.25,30038.8,10,0
CBHU9012600,1,64,42,4,2,2022/10/21 20:07,,6,MED1,FRFOS,1,2.25,12900,4,0
TRHU4697968,1,5B,66,1,1,2022/10/22 18:09,,7,MED1,GRPIR,1,2.25,14460,4,0
OOCU8486651,1,5B,66,1,2,2022/10/22 22:21,,8,MED1,GRPIR,1,2.25,15720,5,0
TRHU5731922,1,46,52,6,2,2022/10/24 10:38,,9,MED1,GRPIR,1,2.25,29900,9,0
CCLU7401542,1,48,50,1,1,2022/10/24 17:17,,10,MED1,GRPIR,1,2.25,13735,4,0
CSLU6146823,1,41,12,2,1,2022/10/24 17:33,,11,MED1,FRFOS,1,2.25,14052,4,0
OOLU9772830,1,41,48,2,1,2022/10/24 18:56,,12,MED1,GRPIR,1,2.25,17290,5,0
OOCU7821040,1,6C,76,4,1,2022/10/24 20:57,,13,MED1,FRFOS,1,2.25,22193,7,0
CSNU7674484,1,5B,66,1,3,2022/10/24 21:39,,14,MED1,GRPIR,1,2.25,12300,4,0
OOLU9300897,1,51,46,2,3,2022/10/24 22:04,,15,MED1,GRPIR,1,2.25,22320,7,0
FCIU9481186,1,96,80,3,3,2022/10/25 0:50,,16,MED1,GRPIR,1,2.25,27100,9,0
BMOU5674023,1,96,80,3,2,2022/10/25 1:02,,17,MED1,GRPIR,1,2.25,16910,5,0
UETU5360953,1,48,56,1,1,2022/10/25 4:56,,18,MED1,GRPIR,1,2.25,14920,4,0
BEAU6185634,1,67,40,5,1,2022/10/25 10:43,,19,MED1,GRPIR,1,2.25,13495,4,0
OOLU8702309,1,96,80,3,1,2022/10/25 18:04,,20,MED1,GRPIR,1,2.25,24190,8,0
OOLU8934562,1,66,78,1,2,2022/10/25 19:37,,21,MED1,GRPIR,1,2.25,15090,5,0
TGBU5505618,1,48,56,1,2,2022/10/25 20:46,,22,MED1,GRPIR,1,2.25,18460,6,0
CSNU6479436,1,67,40,6,4,2022/10/25 21:22,,23,MED1,GRPIR,1,2.25,15860,5,0
FFAU3128620,1,67,40,6,3,2022/10/25 23:36,,24,MED1,GRPIR,1,2.25,19660,6,0
CSNU6365095,1,67,40,3,1,2022/10/25 23:42,,25,MED1,GRPIR,1,2.25,24600,8,0
OOLU8455132,1,65,32,5,1,2022/10/26 0:26,,26,MED1,GRPIR,1,2.25,21060,7,0
FFAU3394169,1,67,40,5,1,2022/10/26 1:17,,27,MED1,GRPIR,1,2.25,16469,5,0
CSLU6267466,1,67,40,4,1,2022/10/26 14:46,,28,MED1,GRPIR,1,2.25,19392.9,6,0
BEAU5561450,1,67,40,4,2,2022/10/26 15:09,,29,MED1,GRPIR,1,2.25,19350,6,0
CSNU8481005,1,2E,54,6,1,2022/10/26 18:32,,30,MED1,GRPIR,1,2.25,24330,8,0
ECMU8120083,1,3A,94,3,2,2022/10/26 18:46,,31,MED1,GRPIR,1,2.25,24950,8,0
TRHU6637823,1,67,40,6,2,2022/10/26 19:29,,32,MED1,GRPIR,1,2.25,29608,9,0
TGBU5124951,1,66,78,5,3,2022/10/26 19:38,,33,MED1,GRPIR,1,2.25,17010,5,0
CSNU8151641,1,67,40,6,1,2022/10/26 19:57,,34,MED1,GRPIR,1,2.25,24118,8,0
FFAU2364030,1,33,14,6,1,2022/10/26 20:25,,35,MED1,ITGOA,1,2.25,20490,6,0
FSCU8983511,1,66,78,5,2,2022/10/26 21:32,,36,MED1,GRPIR,1,2.25,19670,6,0
MAGU5192805,1,66,78,5,1,2022/10/26 22:38,,37,MED1,GRPIR,1,2.25,17620,5,0
OOCU7366461,1,2E,54,6,2,2022/10/26 22:45,,38,MED1,GRPIR,1,2.25,12670,4,0
TRHU7406686,1,42,24,5,5,2022/10/26 23:07,,39,MED1,FRFOS,1,2.25,16580,5,0
OOLU9982035,1,62,22,4,4,2022/10/26 23:19,,40,MED1,ITGOA,1,2.25,12700,4,0
CAIU5808333,1,3A,94,3,1,2022/10/27 0:21,,41,MED1,GRPIR,1,2.25,19000,6,0
TCKU6497390,1,62,22,4,3,2022/10/27 1:03,,42,MED1,ITGOA,1,2.25,20051,6,0
CAIU5852779,1,46,20,6,1,2022/10/27 1:35,,43,MED1,GRPIR,1,2.25,24960,8,0
DFSU7537839,1,67,40,4,3,2022/10/27 1:54,,44,MED1,GRPIR,1,2.25,17370,5,0
OOCU8167253,1,67,40,2,1,2022/10/27 2:41,,45,MED1,GRPIR,1,2.25,25380,8,0
CCLU7897767,1,67,40,6,2,2022/10/27 3:03,,46,MED1,GRPIR,1,2.25,17200,5,0
TCKU6678249,1,2E,50,3,1,2022/10/27 3:20,,47,MED1,GRPIR,1,2.25,18520,6,0
FFAU3547606,1,66,78,5,4,2022/10/27 4:34,,48,MED1,GRPIR,1,2.25,22774,7,0
BEAU6237430,1,67,40,2,1,2022/10/27 6:39,,49,MED1,GRPIR,1,2.25,21310,7,0
TCNU9997100,1,42,94,3,2,2022/10/27 8:39,,50,MED1,GRPIR,1,2.25,20433,6,0
CBHU9418591,1,5B,18,2,1,2022/10/27 11:36,,51,MED1,GRPIR,1,2.25,24620,8,0
FFAU2267200,1,5B,18,2,2,2022/10/27 13:35,,52,MED1,GRPIR,1,2.25,28450,9,0
TGBU7703269,1,5B,18,2,3,2022/10/27 13:57,,53,MED1,GRPIR,1,2.25,28450,9,0
FCIU9670214,1,63,46,2,2,2022/10/27 19:27,,54,MED1,GRPIR,1,2.25,31914,10,0
TGBU8939829,1,34,42,1,1,2022/10/27 20:14,,55,MED1,ITGOA,1,2.25,20828,6,0
OOCU7070171,1,66,78,1,1,2022/10/27 20:39,,56,MED1,GRPIR,1,2.25,11280,3,0
OOCU6419063,1,47,64,3,1,2022/10/28 6:17,,57,MED1,GRPIR,1,2.25,28450,9,0
CSNU6529033,1,66,78,2,1,2022/10/28 8:52,,58,MED1,GRPIR,1,2.25,20116,6,0
UETU5216397,1,53,10,3,5,2022/10/28 13:57,,59,MED1,GRPIR,1,2.25,31883.2,10,0
TCNU3783780,1,47,64,3,2,2022/10/28 14:18,,60,MED1,GRPIR,1,2.25,28450,9,0
SEGU6914656,1,47,64,3,3,2022/10/28 14:21,,61,MED1,GRPIR,1,2.25,24620,8,0
TGBU9275426,1,65,84,5,1,2022/10/28 15:10,,62,MED1,GRPIR,1,2.25,28200,9,0
CCLU7683662,1,65,84,5,2,2022/10/28 15:13,,63,MED1,GRPIR,1,2.25,24620,8,0
OOCU6951380,1,65,84,5,3,2022/10/28 16:00,,64,MED1,GRPIR,1,2.25,28450,9,0
DFSU7114689,1,47,64,3,4,2022/10/28 16:50,,65,MED1,GRPIR,1,2.25,28200,9,0
CAIU9772882,1,5B,18,3,1,2022/10/28 17:44,,66,MED1,GRPIR,1,2.25,24620,8,0
SEGU5008533,1,5B,18,3,2,2022/10/28 17:47,,67,MED1,GRPIR,1,2.25,28200,9,0
BMOU5119870,1,5B,18,3,3,2022/10/28 17:50,,68,MED1,GRPIR,1,2.25,24620,8,0
CBHU8894607,1,54,38,4,5,2022/10/28 18:25,,69,MED1,GRPIR,1,2.25,32388,10,0
DFSU6845992,1,65,32,3,5,2022/10/28 18:39,,70,MED1,GRPIR,1,2.25,24700,8,0
OOLU8831306,1,5B,18,3,4,2022/10/28 19:28,,71,MED1,GRPIR,1,2.25,24620,8,0
OOLU8516623,1,5B,18,2,4,2022/10/28 19:33,,72,MED1,GRPIR,1,2.25,28200,9,0
OOCU7885472,1,59,48,5,1,2022/10/28 19:35,,73,MED1,GRPIR,1,2.25,25525.6,8,0
OOLU0503086,1,62,35,4,4,2022/10/28 19:40,,74,MED1,GRPIR,1,1,5586,1,0
OOLU6932961,1,59,48,5,2,2022/10/28 20:34,,75,MED1,GRPIR,1,2.25,28450,9,0
APHU4638089,1,47,20,5,4,2022/10/28 22:42,,76,MED1,GRPIR,1,2.25,23895,7,0
CSNU1507406,1,66,23,2,2,2022/10/28 22:42,,77,MED1,GRPIR,1,1,12642,4,0
TEMU7173195,1,52,24,6,1,2022/10/28 23:06,,78,MED1,GRPIR,1,2.25,13600,4,0
OOCU7573181,1,59,64,2,1,2022/10/28 23:36,,79,MED1,ESVLC,1,2.25,24713,8,0
TGBU8952482,1,52,24,2,3,2022/10/29 0:11,,80,MED1,GRPIR,1,2.25,24000,8,0
TRHU4210196,1,59,76,5,1,2022/10/29 0:13,,81,MED1,ITGOA,1,2.25,22450,7,0
OOCU4954775,1,4A,82,3,1,2022/10/29 0:25,,82,MED1,ITSPE,1,2,29375,9,0
TGBU4945736,1,59,76,5,2,2022/10/29 0:28,,83,MED1,ITGOA,1,2.25,23201,7,0
TGHU6574620,1,71,20,5,4,2022/10/29 0:44,,84,MED1,GRPIR,1,2.25,26020,8,0
CSNU6795990,1,59,76,1,1,2022/10/29 0:46,,85,MED1,ITGOA,1,2.25,18150,6,0
OOCU8306641,1,52,24,2,4,2022/10/29 0:55,,86,MED1,GRPIR,1,2.25,21330,7,0
FSCU8535667,1,48,78,5,1,2022/10/29 4:15,,87,MED1,ITSPE,1,2.25,15660.8,5,0
MAGU2228139,1,46,73,3,2,2022/10/29 5:26,,88,MED1,GRPIR,1,1,4620,1,0
ECMU8168873,1,45,94,6,4,2022/10/29 5:33,,89,MED1,GRPIR,1,2.25,26135,8,0
OOLU9534386,1,6C,42,3,2,2022/10/29 5:38,,90,MED1,GRPIR,1,2.25,24000,8,0
CSNU8530727,1,65,32,5,3,2022/10/29 6:11,,91,MED1,GRPIR,1,2.25,23180,7,0
APHU4675190,1,47,20,5,1,2022/10/29 6:22,,92,MED1,GRPIR,1,2.25,14390,4,0
TCNU6078784,1,44,60,5,1,2022/10/29 6:53,,93,MED1,ITSPE,1,2.25,29714,9,0
CCLU7888488,1,41,62,1,2,2022/10/29 7:09,,94,MED1,FRFOS,1,2.25,7060,2,0
CSNU6435593,1,6C,42,1,1,2022/10/29 7:10,,95,MED1,GRPIR,1,2.25,16300,5,0
CSNU8305958,1,59,48,5,3,2022/10/29 7:11,,96,MED1,GRPIR,1,2.25,28450,9,0
TGBU9223382,1,4A,90,3,2,2022/10/29 7:12,,97,MED1,ITGOA,1,2.25,13615.1,4,0
SEGU4295362,1,6C,42,3,1,2022/10/29 7:14,,98,MED1,GRPIR,1,2.25,22280,7,0
FSCU8619860,1,6C,42,1,2,2022/10/29 7:18,,99,MED1,GRPIR,1,2.25,25500,8,0
TGBU8688981,1,44,18,4,3,2022/10/29 7:21,,100,MED1,GRPIR,1,2.25,17955,5,0
CMAU9124373,1,44,18,4,2,2022/10/29 7:28,,101,MED1,GRPIR,1,2,19953,6,0
FFAU3162760,1,52,24,1,3,2022/10/29 7:29,,102,MED1,GRPIR,1,2.25,29350,9,0
OOCU9022784,1,48,78,5,2,2022/10/29 7:33,,103,MED1,ITSPE,1,2.25,19600,6,0
TRHU3933800,1,44,77,1,1,2022/10/29 7:34,,104,MED1,FRFOS,1,1,14790,4,0
CCLU7350846,1,42,10,2,1,2022/10/29 7:35,,105,MED1,GRPIR,1,2.25,24620,8,0
OOLU1437369,1,4A,53,5,4,2022/10/29 7:38,,106,MED1,GRPIR,1,1,24708,8,0
OOLU9523458,1,59,76,5,3,2022/10/29 8:14,,107,MED1,ITGOA,1,2.25,21487,7,0
TCKU7823660,1,46,44,6,1,2022/10/29 8:16,,108,MED1,GRPIR,1,2.25,29450,9,0
TRHU4681302,1,52,24,2,2,2022/10/29 8:17,,109,MED1,GRPIR,1,2.25,24250,8,0
APHU6658510,1,46,44,6,2,2022/10/29 8:20,,110,MED1,GRPIR,1,2.25,29219,9,0
CSNU7540931,1,42,42,1,2,2022/10/29 8:28,,111,MED1,GRPIR,1,2.25,13841,4,0
ECMU1642527,1,44,77,1,2,2022/10/29 8:32,,112,MED1,FRFOS,1,1,11250,3,0
CSNU6755827,1,4A,90,3,3,2022/10/29 8:35,,113,MED1,ITGOA,1,2.25,13583,4,0
FCIU4634889,1,44,77,2,1,2022/10/29 8:39,,114,MED1,GRPIR,1,1,5000,1,0
CSNU1654120,1,41,23,3,1,2022/10/29 8:42,,115,MED1,FRFOS,1,1,4567,1,0
OOLU2924171,1,44,37,4,1,2022/10/29 8:44,,116,MED1,ITGOA,1,1,24075,8,0
ECMU8101463,1,2A,20,2,2,2022/10/29 8:50,,117,MED1,GRPIR,1,2.25,17450,5,0
SEGU5035040,1,64,18,4,5,2022/10/29 8:50,,118,MED1,GRPIR,1,2.25,17170,5,0
OOCU8458840,1,44,14,3,2,2022/10/29 8:52,,119,MED1,ITGOA,1,2.25,23516.4,7,0
TTNU8423178,1,41,74,5,5,2022/10/29 9:03,,120,MED1,FRFOS,1,2.25,23242.6,7,0
CMAU0080654,1,59,41,6,1,2022/10/29 9:04,,121,MED1,GRPIR,1,1,17891,5,0
APHU4660400,1,57,94,3,1,2022/10/29 9:08,,122,MED1,GRPIR,1,2.25,17330,5,0
SEKU4058513,1,59,76,5,4,2022/10/29 9:10,,123,MED1,ITGOA,1,2.25,19540.9,6,0
TLLU4426773,1,64,18,4,4,2022/10/29 9:17,,124,MED1,GRPIR,1,2.25,28000,9,0
DFSU7826852,1,59,64,3,1,2022/10/29 9:23,,125,MED1,ITSPE,1,2.25,14598,4,0
TEMU2780534,1,48,75,2,1,2022/10/29 9:28,,126,MED1,ITGOA,1,1,6453,2,0
TEMU3034421,1,48,75,2,2,2022/10/29 9:42,,127,MED1,ITGOA,1,1,6438,2,0
FFAU1607711,1,4A,10,6,1,2022/10/29 9:54,,128,MED1,GRPIR,1,2.25,23220,7,0
OOCU7642575,1,66,70,6,3,2022/10/29 9:57,,129,MED1,FRFOS,1,2.25,28209,9,0
TCNU5915090,1,65,32,3,4,2022/10/29 10:03,,130,MED1,GRPIR,1,2.25,27481,9,0
OOCU7561730,1,66,80,4,1,2022/10/29 10:06,,131,MED1,GRPIR,1,2.25,13020,4,0
OOCU7684040,1,63,64,2,4,2022/10/29 10:10,,132,MED1,GRPIR,1,2.25,20382,6,0
FFAU3539323,1,65,84,5,4,2022/10/29 10:18,,133,MED1,GRPIR,1,2.25,28200,9,0
APZU4834865,1,44,22,2,1,2022/10/29 10:19,,134,MED1,ITSPE,1,2,17274,5,0
ECMU8028887,1,57,94,3,2,2022/10/29 10:24,,135,MED1,GRPIR,1,2.25,27804,9,0
TCNU5752881,1,59,72,2,1,2022/10/29 10:51,,136,MED1,GRPIR,1,2.25,28760,9,0
OOCU7454074,1,44,22,2,2,2022/10/29 11:14,,137,MED1,ITSPE,1,2.25,16389.4,5,0
TGHU6986485,1,46,24,5,1,2022/10/29 11:25,,138,MED1,GRPIR,1,2.25,25650,8,0
OOLU1338638,1,48,75,4,2,2022/10/29 11:32,,139,MED1,ITGOA,1,1,18403,6,0
DFSU7801258,1,5E,20,4,2,2022/10/29 11:38,,140,MED1,GRPIR,1,2.25,27980,9,0
TRHU4205749,1,65,84,5,5,2022/10/29 11:52,,141,MED1,GRPIR,1,2.25,28450,9,0
SEGU6902737,1,66,80,6,3,2022/10/29 11:58,,142,MED1,GRPIR,1,2.25,11595,3,0
OOCU7957211,1,59,14,5,1,2022/10/29 12:02,,143,MED1,ITGOA,1,2.25,24400,8,0
TRHU4648768,1,46,48,4,2,2022/10/29 12:05,,144,MED1,ITSPE,1,2.25,13789.7,4,0
TCLU8720160,1,46,56,6,2,2022/10/29 12:10,,145,MED1,GRPIR,1,2.25,17214,5,0
OOCU6513573,1,59,20,6,4,2022/10/29 12:37,,146,MED1,ITGOA,1,2.25,29360,9,0
DHIU2241386,1,2B,75,3,1,2022/10/29 12:53,,147,MED1,GRPIR,1,1,29880,9,0
SEGU4931818,1,44,60,4,1,2022/10/29 13:01,,148,MED1,ITSPE,1,2.25,25580,8,0
DHIU2241508,1,2B,75,3,2,2022/10/29 13:17,,149,MED1,GRPIR,1,1,29860,9,0
OOLU9391705,1,59,14,5,2,2022/10/29 13:17,,150,MED1,ITGOA,1,2.25,24400,8,0
DHIU2241473,1,2B,75,2,1,2022/10/29 13:19,,151,MED1,GRPIR,1,1,29860,9,0
TCLU6531717,1,67,30,1,1,2022/10/29 13:45,,152,MED1,ITSPE,1,2.25,25580,8,0
CSLU2062597,1,59,41,1,2,2022/10/29 13:47,,153,MED1,GRPIR,1,1,30565,10,0
FCIU9338200,1,41,38,4,1,2022/10/29 14:23,,154,MED1,FRFOS,1,2.25,16176,5,0
OOLU9620078,1,59,14,5,3,2022/10/29 14:54,,155,MED1,ITGOA,1,2.25,24400,8,0
OOLU6750437,1,48,46,2,4,2022/10/29 15:13,,156,MED1,GRPIR,1,2.25,26450,8,0
CSLU6285963,1,59,14,5,4,2022/10/29 15:22,,157,MED1,ITGOA,1,2.25,24400,8,0
DHIU2241534,1,2B,63,5,1,2022/10/29 15:34,,158,MED1,GRPIR,1,1,29860,9,0
CSNU7327649,1,66,70,6,1,2022/10/29 15:34,,159,MED1,ITGOA,1,2.25,29360,9,0
CSNU8084040,1,62,38,5,1,2022/10/29 15:44,,160,MED1,ITGOA,1,2.25,24400,8,0
CCLU7314828,1,59,64,2,2,2022/10/29 15:52,,161,MED1,ESVLC,1,2.25,24620,8,0
TLLU7881600,1,67,30,1,2,2022/10/29 15:56,,162,MED1,ITSPE,1,2.25,25580,8,0
DHIU2241344,1,2B,63,5,2,2022/10/29 15:58,,163,MED1,GRPIR,1,1,29880,9,0
TGBU6328712,1,67,30,1,3,2022/10/29 16:00,,164,MED1,ITSPE,1,2.25,25580,8,0
OOCU8394869,1,69,44,2,1,2022/10/29 16:00,,165,MED1,ITGOA,1,2.25,19303.8,6,0
OOLU6925643,1,66,70,6,2,2022/10/29 16:01,,166,MED1,ITGOA,1,2.25,29360,9,0
OOCU6517809,1,66,80,6,1,2022/10/29 16:12,,167,MED1,FRFOS,1,2.25,16111,5,0
APZU4658719,1,41,66,2,1,2022/10/29 16:12,,168,MED1,GRPIR,1,2,27546,9,0
GLDU9310693,1,59,17,3,1,2022/10/29 16:17,,169,MED1,ITGOA,1,1,7727.9,2,0
CMAU0434824,1,59,41,4,1,2022/10/29 16:19,,170,MED1,GRPIR,1,1,4831.5,1,0
FCIU6164465,1,59,41,1,1,2022/10/29 16:22,,171,MED1,GRPIR,1,1,27440,9,0
CBHU9121577,1,41,48,2,2,2022/10/29 16:43,,172,MED1,GRPIR,1,2.25,29000,9,0
TGBU7921168,1,59,64,2,3,2022/10/29 16:47,,173,MED1,ESVLC,1,2.25,24620,8,0
OOLU9415480,1,42,28,4,1,2022/10/29 17:00,,174,MED1,GRPIR,1,2.25,28800,9,0
BSIU9639983,1,51,62,5,1,2022/10/29 17:09,,175,MED1,GRPIR,1,2.25,32028,10,0
UETU2313618,1,59,41,1,4,2022/10/29 17:15,,176,MED1,GRPIR,1,1,8000,2,0
TEMU1876858,1,46,73,3,1,2022/10/29 17:16,,177,MED1,GRPIR,1,1,27440,9,0
MAGU5328471,1,4A,78,6,3,2022/10/29 17:33,,178,MED1,FRFOS,1,2.25,16406,5,0
OOCU4960567,1,66,54,4,1,2022/10/29 17:47,,179,MED1,ITGOA,1,2,14301,4,0
DHIU2241426,1,2B,63,4,1,2022/10/29 18:06,,180,MED1,GRPIR,1,1,29860,9,0
OOCU4867691,1,63,22,3,1,2022/10/29 18:28,,181,MED1,ITGOA,1,2,12310,4,0
TCLU4434214,1,46,44,5,1,2022/10/29 18:28,,182,MED1,FRFOS,1,2,7016.4,2,0
DHIU2241447,1,2B,63,2,1,2022/10/29 18:35,,183,MED1,GRPIR,1,1,29880,9,0
CMAU0549145,1,44,29,1,3,2022/10/29 18:49,,184,MED1,GRPIR,1,1,27440,9,0
DHIU2241513,1,2B,63,2,2,2022/10/29 19:00,,185,MED1,GRPIR,1,1,29900,9,0
TCNU5430210,1,67,30,1,4,2022/10/29 19:07,,186,MED1,ITSPE,1,2.25,25580,8,0
FFAU2269033,1,44,18,1,1,2022/10/29 19:24,,187,MED1,GRPIR,1,2.25,14900,4,0
CSNU7895470,1,48,78,2,1,2022/10/29 19:27,,188,MED1,ITSPE,1,2.25,16985,5,0
