ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
UETU5631103,1,82,46,2,2,2022/10/14 4:29,,1,NEU1,PLGDN,1,2.25,16465,5,0
TCNU3465157,1,7A,32,3,1,2022/10/14 11:50,,2,NEU1,PLGDN,1,2.25,27832,9,0
APHU7267567,1,73,64,4,1,2022/10/14 13:40,,3,NEU1,PLGDN,1,2.25,27853,9,0
TEMU8526980,1,97,20,3,1,2022/10/14 16:40,,4,NEU1,PLGDN,1,2.25,27561,9,0
TRLU7506071,1,7A,22,3,1,2022/10/14 16:43,,5,NEU1,PLGDN,1,2.25,8167.9,2,0
SCVU2220510,1,74,90,2,1,2022/10/14 18:34,,6,NEU1,PLGDN,1,1,23700,7,0
CMAU6451808,1,74,28,5,2,2022/10/14 18:44,,7,NEU1,PLGDN,1,2.25,23773,7,0
TGHU9838049,1,85,30,5,2,2022/10/14 23:55,,8,NEU1,PLGDN,1,2.25,19480,6,0
TCNU5804619,1,85,30,5,1,2022/10/14 23:59,,9,NEU1,PLGDN,1,2.25,16671,5,0
SCVU2220932,1,73,33,5,1,2022/10/15 1:08,,10,NEU1,PLGDN,1,1,22304,7,0
CMAU4827120,1,76,66,4,1,2022/10/15 3:18,,11,NEU1,PLGDN,1,2.25,27895.2,9,0
SEKU6439951,1,76,66,6,1,2022/10/15 5:08,,12,NEU1,PLGDN,1,2.25,27140.8,9,0
CAIU8397787,1,85,78,3,4,2022/10/15 7:25,,13,NEU1,PLGDN,1,2.25,15652,5,0
CMAU5284408,1,84,58,6,1,2022/10/15 7:35,,14,NEU1,PLGDN,1,2.25,22997,7,0
FFAU4290024,1,83,78,4,2,2022/10/15 9:13,,15,NEU1,PLGDN,1,2.25,20180,6,0
TCKU6289381,1,83,78,4,1,2022/10/15 9:32,,16,NEU1,PLGDN,1,2.25,16490,5,0
DFSU6313310,1,84,58,1,1,2022/10/15 9:41,,17,NEU1,PLGDN,1,2.25,20963,6,0
CMAU7224795,1,82,20,6,1,2022/10/15 11:39,,18,NEU1,PLGDN,1,2.25,27895,9,0
CMAU4398279,1,84,58,1,2,2022/10/15 11:39,,19,NEU1,PLGDN,1,2.25,27895,9,0
