ctn_no,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,outbound_carrier,inbound_carrier,vessel_reference,service_code_tos_in,destination_port_code,category,ctn_size,ctn_status,ctn_weight,flag
BEAU4321710,5F,2,6,1,2020/5/8 9:25,,HLCTA1,,HLCTA1,HLCTA1,AEJEA,1,2,1,9,0
CBHU7081958,88,86,3,1,2021/7/9 5:45,,SIFAL42,,SIFAL42,SIFAL42,KRINC,1,2,1,9,0
TCKU6403410,5F,2,8,1,2021/11/11 17:42,,EMCKC6,,EMCKC6,EMCKC6,SAJED,1,2,1,8,0
UNSU0104660,5A,94,5,2,2022/3/21 22:28,,,CMALK4,CMALK4,CMALK4,CNNGB,2,2,0,1,0
UNSU0103860,5A,94,5,1,2022/4/1 3:52,,,EMCAC3,EMCAC3,EMCAC3,,2,2,0,1,0
UNSU0109003,5A,82,5,1,2022/4/1 9:50,,,EMCAC3,EMCAC3,EMCAC3,,2,2,0,1,d
UNSU0104681,77,24,4,1,2022/4/9 9:19,,,CMADE6,CMADE6,CMADE6,CNSHA,2,2,0,1,0
UNSU0103896,88,24,6,1,2022/4/9 10:42,,,CMADE6,CMADE6,CMADE6,CNSHA,2,2,0,1,0
UNSU0109636,68,54,2,1,2022/4/17 4:11,,,CMACZ6,CMACZ6,CMACZ6,CNNGB,2,2,0,0,0
UNSU0103263,68,54,2,2,2022/4/17 17:34,,,CMACZ6,CMACZ6,CMACZ6,CNNGB,2,2,0,0,0
UNSU0107295,5E,74,3,1,2022/5/4 6:53,,,CMAMU24,CMAMU24,CMAMU24,CNNGB,2,2,0,1,0
UNSU0108692,5E,74,3,2,2022/5/4 6:57,,,CMAMU24,CMAMU24,CMAMU24,CNNGB,2,2,0,1,0
UNSU0108250,5A,22,5,2,2022/5/4 8:12,,,CMAMU24,CMAMU24,CMAMU24,CNNGB,2,2,0,1,0
UNSU0106112,5A,22,5,1,2022/5/4 8:16,,,CMAMU24,CMAMU24,CMAMU24,CNNGB,2,2,0,1,0
FCIU9619486,5F,2,7,1,2022/5/20 8:55,,APLFD7,,APLFD7,APLFD7,AEJEA,1,2,1,8,0
CULU1921243,77,33,2,2,2022/6/9 5:21,,,EMCGI7,EMCGI7,EMCGI7,,2,1,0,0,0
TEMU5598117,77,33,2,1,2022/6/9 5:25,,,EMCGI7,EMCGI7,EMCGI7,,2,1,0,0,0
BMOU1360739,78,37,5,1,2022/6/9 9:48,,,EMCGI7,EMCGI7,EMCGI7,,2,1,0,0,0
IMTU9076111,77,74,5,1,2022/6/9 17:06,,,EMCGI7,EMCGI7,EMCGI7,,2,2,0,1,0
RAWU2103260,68,19,4,1,2022/6/26 8:56,,,EMCTA6,EMCTA6,EMCTA6,,2,1,0,0,8
LYGU4031595,68,16,2,1,2022/6/26 9:03,,,EMCTA6,EMCTA6,EMCTA6,,2,2,0,1,0
CULU6016042,68,16,2,2,2022/6/26 9:14,,,EMCTA6,EMCTA6,EMCTA6,,2,2,0,1,0
CULU1934852,5A,55,5,1,2022/6/26 9:23,,,EMCTA6,EMCTA6,EMCTA6,,2,1,0,0,0
TELU2224974,5A,55,5,2,2022/6/26 9:26,,,EMCTA6,EMCTA6,EMCTA6,,2,1,0,0,0
BMOU1358201,5A,55,4,2,2022/6/26 9:28,,,EMCTA6,EMCTA6,EMCTA6,,2,1,0,0,0
XYLU1075309,5A,55,4,1,2022/6/26 9:30,,,EMCTA6,EMCTA6,EMCTA6,,2,1,0,0,0
XYLU8015533,68,22,2,2,2022/6/26 9:36,,,EMCTA6,EMCTA6,EMCTA6,,2,2,0,1,0
FFAU4362778,78,34,5,1,2022/6/26 9:42,,,EMCTA6,EMCTA6,EMCTA6,,2,2,0,1,0
CULU6161740,77,44,5,1,2022/6/26 9:42,,,EMCTA6,EMCTA6,EMCTA6,,2,2,0,1,0
